Country,BET365,UNIBET,YOU WIN,BOYLE SPORTS,CORAL,SKY BET,BET VICTOR,TITAN BET,PAF,BETFAIR SPORT,SPORTING BET,INTER TOPS,PADDY POWER,BET FRED,BETWAY,STAN JAMES,BWIN,MATCH BOOK,BETFAIR* EXCHANGE,Mean16,Median16
Sweden,2.1,2,2.38,2.25,2.1,2.1,2.1,2.1,2.25,2.1,2,2.25,2,2,2.1,2.25,1,2.21,2.2,2.13,2.1
Russia,3.75,4.5,4,3.75,4.5,3.75,4,4,3.5,4,4,4,4,4.5,4,3.5,4.75,5.16,4.99,3.984375,4
Italy,5,6,5,5,5.5,5.5,6,5.5,5,6,5,4.25,5.5,6.5,4.5,4.5,5,6.74,6.51,5.296875,5.25
Belgium,11,12,9,12,9,10,12,10,7.5,8,11,7,9,13,8,5,15,18,18,9.59375,9.5
Australia,11,12,9,11,10,11,13,10,10,11,11,9,10,13,11,9,13,16,17,10.6875,11
Estonia,19,24,34,23,21,21,19,21,29,17,21,23,17,26,26,15,21,27,27,22.25,21
Serbia,34,30,41,26,26,34,34,29,29,26,34,29,26,41,34,21,26,51,52,30.875,29.5
Norway,34,30,41,34,41,41,41,41,26,41,41,29,29,51,34,34,#N/A,70,62,36.75,37.5
Latvia,41,51,34,41,51,41,41,34,51,51,41,34,41,67,34,34,#N/A,150,143,42.9375,41
Israel,67,51,67,81,41,67,46,51,51,29,67,51,41,67,51,41,34,#N/A,133,54.3125,51
Azerbaijan,67,34,67,41,67,51,67,67,34,67,41,51,51,67,51,41,51,100,105,54,51
Spain,81,34,81,51,67,81,67,67,34,81,67,51,81,67,67,51,51,#N/A,181,64.25,67
Slovenia,81,51,81,67,81,67,67,81,51,81,67,51,67,67,67,51,67,199,200,67.375,67
Georgia,101,81,151,67,101,101,101,81,81,81,101,81,67,101,81,51,67,199,285,89.25,81
UnitedKingdom,151,101,151,126,41,126,81,81,101,81,81,81,41,101,101,67,101,298,304,94.5,91
Greece,151,81,126,101,126,101,126,126,81,101,101,101,81,101,101,101,101,#N/A,703,106.625,101
Romania,151,126,151,101,151,101,101,126,126,101,101,126,101,101,126,101,101,#N/A,789,118.1875,113.5
Armenia,151,101,151,176,151,151,151,151,101,101,101,126,101,101,126,126,101,199,228,129.125,126
Albania,151,101,126,126,101,151,101,126,101,101,101,101,101,101,101,101,101,496,950,111.9375,101
Hungary,151,101,126,126,126,126,151,126,101,101,101,101,101,101,126,81,201,496,589,115.375,113.5
Cyprus,151,126,151,101,151,126,126,126,126,126,101,101,101,101,101,101,101,496,713,119.75,126
France,151,126,126,176,151,126,126,126,126,101,101,126,151,101,126,101,201,496,694,127.5625,126
Lithuania,201,151,201,151,201,151,151,151,151,101,101,126,101,101,126,101,101,496,950,141.625,151
Poland,251,251,251,151,251,201,151,151,251,126,201,151,101,101,151,151,101,#N/A,903,180.6875,151
Austria,251,201,251,151,251,151,126,151,201,101,151,151,151,101,151,101,101,496,950,165.0625,151
Montenegro,201,101,251,151,251,251,201,126,101,126,201,151,151,101,151,176,101,496,950,168.1875,151
Germany,251,201,201,201,251,201,251,151,201,151,151,151,201,101,151,126,#N/A,496,950,183.8125,201
