"rep","run","bf_no_rvar","bf_rvar"
1,1,3.61170340108695e-15,8186565430.99376
2,1,4.14820778933e-16,4854274.36573633
3,1,3.11047611898944e-15,25261259208.4084
4,1,2.16753948547913e-16,3300132.61879947
5,1,1.34880743963571e-16,213.793359756549
6,1,3.80385316118741e-17,136581.778574233
7,1,6.159345342149e-12,12770476.9984244
8,1,4.73581782789671e-17,140766.100813221
9,1,6.43939247449041e-17,1246.4571275544
10,1,7.12994941224934e-16,7902328.64551139
11,1,1.88281300988819e-17,8097137.12954993
12,1,1.153843610048e-21,1469037097.8492
13,1,1.72639995806474e-20,9194925.84599902
14,1,1.16035413498718e-18,17461248.7176195
15,1,4.00808360672033e-15,1962348.07719251
16,1,1.11571279119775e-13,222051.854414295
17,1,1.02105790439567e-15,31.5561384177054
18,1,7.96876639668719e-15,296.277872880473
19,1,6.06522987562094e-23,5674762.04170721
20,1,1.85409361426233e-22,731767170762.076
21,1,4.63176812882355e-23,2532190959186449
22,1,4.34449236787885e-17,14706458.2016297
23,1,7.08000095086583e-20,210894782.738659
24,1,1.20868539179702e-11,207145348.818138
25,1,7.60507653494891e-16,3795457454.28076
26,1,1.3916499992783e-13,88323.1238981976
27,1,1.02173595324407e-18,32656.0355277756
28,1,2.96786909546855e-14,83918788474.2321
29,1,7.0417722178125e-18,23539334562.2827
30,1,2.23059840136564e-20,5312201979.18329
31,1,1.21776946373846e-19,316221.673018622
32,1,2.63532303668309e-18,28498231.3841105
33,1,1.24150086190377e-21,690385843.032348
34,1,1.49493613996593e-20,230.258015567114
35,1,2.13362192382034e-19,98177441.282219
36,1,3.58187210388622e-22,299259097.140325
37,1,9.92914581997624e-20,269391529.637054
38,1,2.53102603171265e-19,41573.8251034845
39,1,5.10903368409531e-21,1422552021.43634
40,1,4.79188073291376e-19,10018760.8164485
41,1,4.04408574321013e-22,753325181.917966
42,1,3.44142143379142e-22,1575606302268.22
43,1,2.70251470413246e-16,408.505602460386
44,1,4.86650682340131e-17,3757297.11859911
45,1,1.21802056667932e-14,291.007361510018
46,1,4.684276285769e-19,388380421.772854
47,1,1.21747601851544e-17,5722055.62942766
48,1,3.63302684115794e-17,54.4522055691175
49,1,6.96330556037086e-19,6160.73535864658
50,1,4.97084506594226e-18,25281967.4192333
51,1,3.00342030599849e-14,41892.1115578246
52,1,1.86049056278968e-20,116259.674406639
53,1,9.08091752178397e-22,28891784.1977592
54,1,2.28765326550665e-17,563134.576151626
55,1,2.53320421002527e-18,9829.36504930906
56,1,1.41648512372586e-20,797401.440303666
57,1,3.6876191807048e-23,2887972582584702
58,1,3.88533094732698e-19,29.586914582207
59,1,6.86894182421665e-21,182689.50387716
60,1,2.77137452286847e-11,3798984147.52193
61,1,3.344891123451e-18,123856.393523965
62,1,6.67330904487429e-17,49746.6634034437
63,1,3.54879627029562e-18,1136269750.23848
64,1,1.04331517312515e-16,21122.468084269
65,1,1.12176449051083e-17,393635741.852758
66,1,3.32193975667988e-18,877802687.098334
67,1,1.05045296414144e-13,1979.43599853577
68,1,9.6262853500712e-22,1028296649.92857
69,1,5.06471033042864e-19,7.26114741367114
70,1,2.05279284001395e-18,97353077.1330717
71,1,1.23279655610206e-15,390.473063404472
72,1,9.80556359964432e-17,127366391.089995
73,1,6.1146776006771e-18,2673866937062.42
74,1,8.37789941615707e-17,171367013.080479
75,1,5.57826669383382e-21,1545093011.60449
76,1,4.68218812943613e-20,31702475.5896909
77,1,6.58844125042528e-20,40.690794908041
78,1,4.32293718771883e-23,231578.59087791
79,1,7.76546643208592e-20,76.8738878047673
80,1,1.54313148095545e-15,131350.026397548
81,1,2.45608867821119e-16,76.200325628673
82,1,5.62210554617564e-17,3960909313.42807
83,1,1.09842375583676e-17,260.631983650568
84,1,2.44791867412403e-14,36610698171391643648
85,1,3.4376119663622e-18,445034.808290464
86,1,6.9631136614118e-21,104125.37596645
87,1,2.37610224290497e-18,5211667.13130814
88,1,1.10786499768266e-16,6633965.74913811
89,1,3.55899202324666e-22,327.889810756669
90,1,2.48669858583109e-20,103108.299530656
91,1,6.73692868131046e-21,Inf
92,1,8.01491104075014e-18,26206417647.008
93,1,3.67329090331826e-20,185770.787930153
94,1,6.64379303123609e-19,1.06630389367626e+21
95,1,9.90615819908175e-22,533537.464064613
96,1,3.50002692574457e-18,507016766.921518
97,1,4.5259084990345e-15,308778465875.215
98,1,4.71092240375733e-15,185367.839579625
99,1,3.03930098272804e-17,222205211.128693
100,1,6.04822968968328e-18,793.9907786366
1,2,2.891965689301e-19,7558235550.98105
2,2,1.16902159361132e-20,3321.30887991222
3,2,3.73019563717405e-12,2665787092.16227
4,2,3.63182737154594e-18,61.5494974744745
5,2,4.51839902512573e-22,104284.809540472
6,2,2.38287316688089e-19,14244255.9006801
7,2,2.94643676847448e-18,106446981.102662
8,2,1.59220013480507e-16,296652367.198731
9,2,1.55408695341594e-19,27299282138.6508
10,2,1.22499107901427e-16,650029639.513959
11,2,3.38622852182146e-19,375013096.78703
12,2,6.7202757630007e-20,284.458086205394
13,2,1.26088584101714e-23,10.5471452360578
14,2,3.19455857872488e-20,12836095.5364444
15,2,5.83913411586234e-17,1371991.19821009
16,2,6.73420948450842e-12,11632832.3450982
17,2,6.80237481006745e-21,2844.87867689636
18,2,3.44101992701432e-18,10506551666991.8
19,2,4.76975076044509e-14,2861720.0240659
20,2,2.1468264563506e-17,10033726.5131858
21,2,6.05277142107832e-14,166543.359852043
22,2,7.67145132543301e-17,535673.79803229
23,2,2.85511731909001e-15,351609624.861343
24,2,1.51885607904478e-19,119285703.930051
25,2,7.71342001333855e-18,19773421814.9407
26,2,2.25078717063824e-19,904177.796076361
27,2,5.39543765382022e-21,1579366928.68839
28,2,6.32494308574869e-20,221679413605.015
29,2,1.0174528701379e-22,190636870.891992
30,2,2.51018702648857e-16,162421.903435674
31,2,9.22377474151507e-22,65644002303.0684
32,2,6.17897567317753e-13,325006667.438899
33,2,2.28167342273918e-18,292325.4606738
34,2,3.40267479608534e-17,587308.845437297
35,2,7.70033549616685e-15,1897194834628.37
36,2,7.89529964299742e-17,627.216013927906
37,2,9.23803001151979e-19,745147123.833248
38,2,1.34267963068724e-18,0.0637497199787039
39,2,6.1253767160668e-22,3397859457.66068
40,2,6.77861409286455e-22,2036361.39915072
41,2,2.09801854450581e-17,182710368216.974
42,2,7.27905353532141e-21,442116.584741804
43,2,8.20939795245064e-14,1994.04109329845
44,2,4.114759972765e-24,760686.015652708
45,2,1.20082367490695e-10,330.508977343594
46,2,2.61831072696934e-20,34401371414.3647
47,2,7.80260715911899e-15,546488494.257328
48,2,1.39086017960913e-18,395321947885.643
49,2,2.00374017601626e-21,990333.661042157
50,2,4.71460696844206e-18,7784840.70584384
51,2,5.06910391384486e-19,6091.51209018717
52,2,4.56965326520957e-18,760669549.899648
53,2,6.05235105118752e-17,356668316.681304
54,2,7.60697305488679e-21,15381459077.1993
55,2,1.20036059865312e-15,52.7593858958362
56,2,1.50536164843793e-20,9165420.93414014
57,2,4.30942235581979e-16,15220.1532580873
58,2,6.34646554312995e-21,3834973.12948925
59,2,2.71385009692189e-21,1070495.91036035
60,2,2.00957539951396e-16,1880523.36033401
61,2,2.54440534680792e-23,1135.00137681534
62,2,4.64557791768204e-15,18591709.5849485
63,2,9.0975486442597e-15,5354106.05014281
64,2,2.3741884686002e-17,5783822.15828174
65,2,2.18516459443223e-19,4253612.55782099
66,2,1.43307769271934e-19,102403231.357896
67,2,3.92388023654804e-16,305349.83437679
68,2,3.93697863209045e-20,278780.274467329
69,2,6.80305924654399e-14,214645022.03035
70,2,5.62812893101421e-22,4035799990.40136
71,2,4.92503476556134e-16,127007333.204586
72,2,2.53595941879492e-15,3340705539.66111
73,2,2.47317650953124e-18,778627.672108945
74,2,2.06846801408863e-23,2778.81703028689
75,2,2.46273972460912e-18,51780538843.4089
76,2,2.27822577608432e-16,92687511827.6548
77,2,2.17416291825529e-18,24247346.2674173
78,2,1.72435663834991e-17,55022776.3253444
