"rep","run","trial","bf_no_rvar","bf_rvar"
1,7,1,4.21502558760115e-25,15741723067.2899
1,7,2,1.19543026496579e-17,9156367026770266
1,7,3,3.36486662382068e-19,3472930938367276
1,7,4,4.22986370222324e-09,3897261124465226752
1,7,5,2.51856337472724e-14,34297376521740320
1,7,6,2.018650758834e-27,429209562.29109
1,7,7,1.28011645300561e-20,1551319121176.69
1,7,8,2.54255937354968e-18,0.0223551438745297
1,7,9,1.41681158994479e-21,3026532098086990
1,7,10,3.95682906188799e-20,186967361489181
1,7,11,1.31226970637929e-18,228431069623609
1,7,12,1.00582898830876e-21,6214153082385.91
1,7,13,7.88621291031581e-16,518235.858885
1,7,14,2.7379951391442e-28,3587362431.8575
1,7,15,1.23020553332134e-19,213.561436591702
1,7,16,4.34525760347777e-17,1.4755482301279e+19
1,7,17,1.34556443767856e-18,705931867.148941
1,7,18,1.78796945711889e-19,190963923018883
1,7,19,1.59156377696606e-23,191542064637708224
1,7,20,1.11025301789097e-20,6647.22008664509
2,7,1,3.39418903810264e-22,11611305989.3863
2,7,2,5.61343572399985e-13,26070391986.9312
2,7,3,9.74871747947852e-21,329386433285343
2,7,4,8.74451326334901e-17,3382753152384322
2,7,5,3.17790210072364e-08,518493190531.705
2,7,6,1.04565675419272e-26,58981.369273462
2,7,7,1.63640883443544e-21,258841608.268134
2,7,8,7.98189785239627e-21,0.0935522701607871
2,7,9,1.89099583274334e-17,832546213307884
2,7,10,6.06832737184559e-21,95596632.3050762
2,7,11,2.56395736913136e-17,256788639353.434
2,7,12,2.13595955690533e-18,209923673257.073
2,7,13,2.65101973033444e-16,12489197544.6828
2,7,14,1.26363322908578e-24,71943368164.2098
2,7,15,5.7335953919212e-15,254.836863135774
2,7,16,3.11236659530052e-15,149358846755198240
2,7,17,1.16842378640407e-16,2.16119617938491
2,7,18,3.44739046264943e-20,13594096532111788
2,7,19,5.62333553878776e-23,1094581885.27261
2,7,20,1.69649757692531e-19,11877338.7818572
3,7,1,4.87254988306415e-24,332718976715677120
3,7,2,8.36037383763327e-18,9610093123303.96
3,7,3,1.61842752292713e-21,936075722165107328
3,7,4,3.64566319154552e-14,3.46737729104505e+20
3,7,5,1.4364151176291e-09,3.41035201502985e+24
3,7,6,4.29935550521709e-17,403399044346245312
3,7,7,2.89799500521626e-21,67889535497957.5
3,7,8,3.22505544724389e-19,108219.010871818
3,7,9,5.80032598758871e-17,2.47130209011985e+22
3,7,10,2.69035474534943e-19,1813024060785044736
3,7,11,3.92074562563885e-15,121941892916629
3,7,12,1.00910738070832e-20,1.7304606123098e+25
3,7,13,2.66107471530507e-16,289983807397.422
3,7,14,3.5544192983978e-29,890033.098837809
3,7,15,8.03428866960825e-20,24235.5756972047
3,7,16,4.70098374891987e-17,3.93784322875432e+23
3,7,17,1.15833719025112e-24,676208.95662635
3,7,18,1.56577980311382e-27,1.40733756818017e+22
3,7,19,3.33209961366682e-29,7.87533009650086e+26
3,7,20,7.41078065818871e-22,439429329544.45
4,7,1,3.76163416189229e-22,2890644208.11731
4,7,2,1.5977409463203e-16,9549087702360630
4,7,3,2.85736413627227e-22,6501056449984704512
4,7,4,1.77311392348373e-19,16264577805672240
4,7,5,9.92888181637502e-16,159264991159348
4,7,6,1.53536306556074e-27,58054049.996123
4,7,7,7.73429476275739e-23,457387024569.153
4,7,8,3.73204114682089e-19,0.954409736290204
4,7,9,5.39047724083492e-21,101208073711787360
4,7,10,1.15062959462386e-20,309140167804.898
4,7,11,1.67121480773693e-17,2749569037543186432
4,7,12,8.47905077069582e-27,22187242567583980
4,7,13,9.32498275579898e-20,4027683252.92783
4,7,14,6.8395865892001e-30,88711374.7133185
4,7,15,2.81800320465198e-18,0.117768305005389
4,7,16,6.54789000427668e-11,30072763652095725568
4,7,17,3.12818728354329e-21,22316.4699446347
4,7,18,4.02549918469674e-22,4275032158938710
4,7,19,9.94960129083884e-24,3072997750973627
4,7,20,1.45166883221912e-23,26766.0957654958
5,7,1,4.8094615752434e-21,184333172929955072
5,7,2,1.19210731194449e-16,1333316216445.08
5,7,3,3.29826830150839e-24,639728194710.154
5,7,4,7.9017082113272e-14,3979739274997.02
5,7,5,7.82588757028259e-08,14113805809088614
5,7,6,1.0921486081845e-30,58025318.0074719
