"Run","Rep","Xseed","Yseed","Z_additive","Z_multiplicative","prior","projected","AddRE","MulREdim","Variable","TrueValue","Estimate","Variance","Confidence","CI_low","CI_high"
4,101,4e+07,40000101,FALSE,FALSE,"IG",TRUE,TRUE,0,"intercept",-1,-0.852653407837453,0.0070943583951977,0.9,-0.993897273497466,-0.714472748954157
4,101,4e+07,40000101,FALSE,FALSE,"IG",TRUE,TRUE,0,"X1_groups",1,1.07137073011716,0.00324122425294406,0.9,0.978323283317346,1.16562733229962
4,101,4e+07,40000101,FALSE,FALSE,"IG",TRUE,TRUE,0,"X2_dist",1,0.900403072831986,0.00464802110477041,0.9,0.798805963030424,1.01340049320266
4,101,4e+07,40000101,FALSE,FALSE,"IG",TRUE,TRUE,0,"X3_norm",1,0.999913957992585,0.00348612385285205,0.9,0.906708115198676,1.09438360246082
4,101,4e+07,40000101,FALSE,FALSE,"IG",TRUE,TRUE,0,"X4_row",1,0.9710861981633,0.00482762725959683,0.9,0.863518179704319,1.08244017465039
4,101,4e+07,40000101,TRUE,FALSE,"IG",TRUE,TRUE,0,"intercept",-1,-0.557391536617617,0.00752455336273415,0.9,-0.699702228358479,-0.406169661369719
4,101,4e+07,40000101,TRUE,FALSE,"IG",TRUE,TRUE,0,"X1_groups",1,1.02913974734073,0.0038988800198917,0.9,0.930392196098434,1.14027680903852
4,101,4e+07,40000101,TRUE,FALSE,"IG",TRUE,TRUE,0,"X2_dist",1,0.866003052604097,0.00557441517337108,0.9,0.744822745721787,0.988219866448101
4,101,4e+07,40000101,TRUE,FALSE,"IG",TRUE,TRUE,0,"X3_norm",1,0.942490034585733,0.00367253279440948,0.9,0.839206041366214,1.0423343369489
4,101,4e+07,40000101,TRUE,FALSE,"IG",TRUE,TRUE,0,"X4_row",1,0.694660357889633,0.00391918096520905,0.9,0.58405101135156,0.79200456456663
4,102,4e+07,40000102,FALSE,FALSE,"IG",TRUE,TRUE,0,"intercept",-1,-0.964304455681917,0.00673056196482352,0.9,-1.10360989661029,-0.83731654267987
4,102,4e+07,40000102,FALSE,FALSE,"IG",TRUE,TRUE,0,"X1_groups",1,1.06768381431613,0.00316230202716269,0.9,0.976832813758278,1.15996817702735
4,102,4e+07,40000102,FALSE,FALSE,"IG",TRUE,TRUE,0,"X2_dist",1,0.960154390635764,0.0041552107779769,0.9,0.851364448347952,1.06930066446474
4,102,4e+07,40000102,FALSE,FALSE,"IG",TRUE,TRUE,0,"X3_norm",1,1.09246542600105,0.00416587131547947,0.9,0.990151160573531,1.19688711907697
4,102,4e+07,40000102,FALSE,FALSE,"IG",TRUE,TRUE,0,"X4_row",1,1.01621710360157,0.0050349502428834,0.9,0.905639957855673,1.13592653583826
4,102,4e+07,40000102,TRUE,FALSE,"IG",TRUE,TRUE,0,"intercept",-1,-0.418326453003658,0.00736308032844232,0.9,-0.560382951625384,-0.27949265900162
4,102,4e+07,40000102,TRUE,FALSE,"IG",TRUE,TRUE,0,"X1_groups",1,0.91618061267083,0.00345070721035522,0.9,0.825915635471382,1.01538783099715
4,102,4e+07,40000102,TRUE,FALSE,"IG",TRUE,TRUE,0,"X2_dist",1,0.770699229180679,0.00492478702977531,0.9,0.655876543114824,0.887630352483926
4,102,4e+07,40000102,TRUE,FALSE,"IG",TRUE,TRUE,0,"X3_norm",1,0.985424737807662,0.00413690160147102,0.9,0.881678155165923,1.08804424768966
4,102,4e+07,40000102,TRUE,FALSE,"IG",TRUE,TRUE,0,"X4_row",1,0.698921485241915,0.00370463901790704,0.9,0.600026911398833,0.789499504697125
4,103,4e+07,40000103,FALSE,FALSE,"IG",TRUE,TRUE,0,"intercept",-1,-1.07512185782522,0.00755934977349222,0.9,-1.23826286912752,-0.938358483971776
4,103,4e+07,40000103,FALSE,FALSE,"IG",TRUE,TRUE,0,"X1_groups",1,1.10967186402519,0.00318289690510965,0.9,1.02360549873292,1.20061706691024
4,103,4e+07,40000103,FALSE,FALSE,"IG",TRUE,TRUE,0,"X2_dist",1,1.0099472874767,0.00481997521761929,0.9,0.900423816683419,1.1248660236964
4,103,4e+07,40000103,FALSE,FALSE,"IG",TRUE,TRUE,0,"X3_norm",1,1.06016571634836,0.00376538324884301,0.9,0.952657894046119,1.15849511718719
4,103,4e+07,40000103,FALSE,FALSE,"IG",TRUE,TRUE,0,"X4_row",1,1.03338776740991,0.00481437458318388,0.9,0.921182356133559,1.15197165275304
4,103,4e+07,40000103,TRUE,FALSE,"IG",TRUE,TRUE,0,"intercept",-1,-0.563633368470183,0.00776702601362486,0.9,-0.711973542203539,-0.418401925002419
4,103,4e+07,40000103,TRUE,FALSE,"IG",TRUE,TRUE,0,"X1_groups",1,0.998069734145733,0.00346838347294877,0.9,0.904754846215606,1.0923657690593
4,103,4e+07,40000103,TRUE,FALSE,"IG",TRUE,TRUE,0,"X2_dist",1,0.833821843930305,0.00565398028281312,0.9,0.718793208286083,0.948729679555864
4,103,4e+07,40000103,TRUE,FALSE,"IG",TRUE,TRUE,0,"X3_norm",1,1.00644782023951,0.00409493967254199,0.9,0.901168089199475,1.11403235982867
4,103,4e+07,40000103,TRUE,FALSE,"IG",TRUE,TRUE,0,"X4_row",1,0.780918906156907,0.00412980165136514,0.9,0.67601655927562,0.873462283809131
4,104,4e+07,40000104,FALSE,FALSE,"IG",TRUE,TRUE,0,"intercept",-1,-0.938736548135527,0.00729789716520858,0.9,-1.0888436338887,-0.807894885953087
4,104,4e+07,40000104,FALSE,FALSE,"IG",TRUE,TRUE,0,"X1_groups",1,1.03868081961784,0.00317398545091867,0.9,0.952142057520271,1.13624458986398
4,104,4e+07,40000104,FALSE,FALSE,"IG",TRUE,TRUE,0,"X2_dist",1,0.927267531411783,0.00441105016622338,0.9,0.827040349193962,1.04398179128926
4,104,4e+07,40000104,FALSE,FALSE,"IG",TRUE,TRUE,0,"X3_norm",1,1.1033105115137,0.0042454479100593,0.9,0.994698829527863,1.20910200548648
4,104,4e+07,40000104,FALSE,FALSE,"IG",TRUE,TRUE,0,"X4_row",1,0.887047734876781,0.00462227463540264,0.9,0.771472860878387,1.00534998548751
4,104,4e+07,40000104,TRUE,FALSE,"IG",TRUE,TRUE,0,"intercept",-1,-0.532453849241796,0.00712581840845836,0.9,-0.67251939716594,-0.390258326029013
4,104,4e+07,40000104,TRUE,FALSE,"IG",TRUE,TRUE,0,"X1_groups",1,0.924146312531673,0.003173099380449,0.9,0.829732859390942,1.02116785541789
